"key","message","comment","context"
"MrpWeeks.product","Sản phẩm",,
"MrpWeeks.stockLocation","Kho hàng",,
"MrpWeeks.title","Tiêu đề",,
"MrpWeeks.unit","Đơn vị",,
"MrpWeeks.week","Tuần",,
"Name","Tên",,
"Nbr of days","Số ngày",,
"No default supplier is defined for the product %s","Không có nhà cung cấp mặc định nào được xác định cho sản phẩm %s",,
"No delivery stock move to generate for this purchase order","Không có giao hàng nào được tạo cho đơn bán hàng này",,
"No delivery stock move to generate for this sale order","Không có giao hàng nào được tạo cho đơn mua hàng này",,
"No invoice was generated","Không có hóa đơn nào được tạo ra",,
"No stock location valid. Please uncheck the chosen stock location 'is not in MRP'.","Không có kho hợp lệ. Vui lòng bỏ chọn 'không có trong MRP'.",,
"Not enough quantity are available for reservation for product %s (%s)","Không đủ số lượng có sẵn để đặt trước cho sản phẩm %s ( %s)",,
"Not invoiced","Không lập hóa đơn",,
"Note","Ghi chú",,
"Number of Product per Accounting Family","Số lượng sản phẩm cho mỗi họ kế toán",,
"Number of Product per Category","Số lượng sản phẩm trên mỗi danh mục",,
"Number of days","Số ngày",,
"OK",,,
"One-off sale outgoing quantity","Bán hết một lần số lượng gửi đi",,
"One-off sales","Bán hết một lần",,
"One-off sales excluded","Bán hết một lần loại trừ",,
"One-off sales included","Bán hết một lần bao gồm",,
"One-off sales only","Chỉ bán hết một lần",,
"Operation choice","Lựa chọn hoạt động",,
"Order %s","Đặt hàng %s",,
"Order invoicing report:","Báo cáo hóa đơn đặt hàng:",,
"Order up to date","Đặt hàng đến ngày",,
"Order(s) processed","Đơn hàng được xử lý",,
"Ordered by","Đặt hàng bởi",,
"Origin","Xuất xứ",,
"Origins","Xuất xứ",,
"Out of stock","Hết hàng",,
"Outgoing quantity (One-off sale excluded)","Số lượng đi (loại trừ bán một lần)",,
"Outgoing stock move invoicing report:","Báo cáo hóa đơn xuất kho:",,
"PFP Status","Trạng thái PFP",,
"PO line","Chi tiết PO",,
"Pack lines","Chi tiết đóng gói",,
"Packing list","Danh sách đóng gói",,
"Parent Stock location","Kho hàng chính",,
"Parent line","Dòng chính",,
"Partial invoicing of outgoing stock move with tracking number activated is not supported.","Không hỗ trợ lập hóa đơn từng phần đối với việc xuất kho theo số theo dõi được kích hoạt.",,
"Partially invoiced","Lập hóa đơn một phần",,
"Partner","Đối tác",,
"Partner is missing on stock move %s.","Đối tác bị thiếu ở chuyển kho %s.",,
"Partner relations type","Loại quan hệ đối tác",,
"Partner relations types","Loại quan hệ đối tác",,
"Payment condition","Điều kiện thanh toán",,
"Payment mode","Phương thức thanh toán",,
"Percentage","%",,
"Period","Giai đoạn",,
"Picking Order Info","Chọn thông tin đơn hàng",,
"Planned stock move lines","Chi tiết kế hoạch chuyển kho",,
"Please configure a correct value for the sale order date used for reservation.","Vui lòng cấu hình một giá trị chính xác cho ngày mua hàng được sử dụng để đặt trước.",,
"Please configure the advance payment account for the company %s","Vui lòng cấu hình tài khoản thanh toán trước cho công ty %s",,
"Please configure the advance payment product","Vui lòng cấu hình sản phẩm thanh toán trước",,
"Please configure the sale order invoicing product","Vui lòng cấu hình hóa đơn bán sản phẩm",,
"Please confirm the sale order before invoicing.","Vui lòng xác nhận đơn đặt hàng trước khi lập hóa đơn.",,
"Please do not enter negative quantity for reservation.","Vui lòng không nhập số lượng âm để đặt trước.",,
"Please enter amount to invoice.","Vui lòng nhập số tiền vào Hóa đơn.",,
"Please fill a quantity to invoice.","Vui lòng điền số lượng vào hóa đơn.",,
"Please fill unit for product %s","Vui lòng điền đơn vị cho sản phẩm %s",,
"Please generate a stock move for this sale order before modifying allocated quantity.","Vui lòng tạo một hoạt động điều chuyển kho cho đơn bán hàng này trước khi sửa đổi số lượng được phân bổ.",,
"Please select an element to run calculation","Vui lòng chọn một phần tử để chạy phép tính",,
"Please uncheck picking order edited box from this stock move from Cust. Shipment to prepare menu entry.","Vui lòng bỏ chọn đơn hàng đã sửa từ menu 'Lô hàng của KH cần chuẩn bị'",,
"Please validate the purchase order before invoicing.","Vui lòng xác thực đơn mua hàng trước khi lập hóa đơn.",,
"Please, select a currency for the order %s","Xin vui lòng, chọn đơn vị tiền cho đơn hàng %s",,
"Please, select a supplier for the line %s","Xin vui lòng, chọn một NCC cho dòng %s",,
"Print","In",,
"Product","Sản phẩm",,
"Product Accounting Family","Họ kế toán sản phẩm",,
"Product Category","Danh mục sản phẩm",,
"Product Type","Loại sản phẩm",,
"Product categories","Danh mục sản phẩm",,
"Product families","Họ sản phẩm",,
"Product is missing.","Sản phẩm bị thiếu.",,
"Product launches/withdrawal each month","Sản phẩm ra mắt/ thu hồi mỗi tháng",,
"Product stock for %s is not enough for availability request","Tồn kho sản phẩm cho %s là không đủ yêu cầu",,
"Product type","Loại sản phẩm",,
"Product type distribution","Phân phối loại sản phẩm",,
"Products","Sản phẩm",,
"Products DB 1","Sản phẩm DB 1",,
"Products Details","Chi tiết sản phẩm",,
"Projected Stock","Tồn kho sản phẩm",,
"Projected stock","Tồn kho sản phẩm",,
"Proposal","Đề xuất",,
"Proposal generated","Đề xuất đã được tạo",,
"Proposal select","Đề xuất chọn",,
"Proposals have been generated successfully.","Các đề xuất đã được tạo ra thành công.",,
"Purchase order","Đơn hàng mua",,
"Purchase order line","Chi tiết đơn hàng mua",,
"Purchase order or sale order without estimated delivery date and manufacturing order without planned date. In this case, we use the MRP start date (today)","Đơn hàng mua hoặc đơn hàng bán không có ngày giao hàng dự kiến và đơn đặt hàng sản xuất không có ngày lên kế hoạch. Trong trường hợp này, chúng tôi sử dụng ngày bắt đầu MRP (hôm nay)",,
"Purchase order quantity","Số lượng đơn hàng mua",,
"Purchase order without incoming stock move","Đơn hàng mua mà không cần chuyển kho đến",,
"Purchase order without stock move","Đơn hàng mua mà không cần chuyển kho",,
"Purchase orders","Đơn hàng mua",,
"Purchase proposal","Đề xuất mua hàng",,
"Purchases orders","Đơn hàng mua",,
"Qty","Số lượng",,
"Qty to invoice","Sô lượng lập hóa đơn",,
"Quantity cannot be lower than already delivered quantity on detail line %s.","Số lượng không thể thấp hơn số lượng đã giao trên dòng chi tiết %s.",,
"Quantity requested","Số lượng yêu cầu",,
"Real Qty","Số lượng thực",,
"Real quantity","Số lượng thực",,
"Real/Current Quantity","Số lượng thực/hiện tại",,
"Receipt state","Trạng thái biên lai",,
"Recovered tax","Thuế đã thu hồi",,
"Ref","Tham chiếu",,
"Refill Qty","Số lượng nạp lại",,
"Related to","Liên quan tới",,
"Related to select","Liên quan đến lựa chọn",,
"Relation 1","Quan hệ 1",,
"Relation 2","Quan hệ 2",,
"Remaining Qty","Số lượng còn lại",,
"Reports","Báo cáo",,
"Requested reserved qty","Số lượng đặt trước được yêu cầu",,
"Requested reserved quantity","Số lượng đặt trước được yêu cầu",,
"Reservation date time","Ngày đặt trước",,
"Reserved quantity","Số lượng đặt trước",,
"Reserved stock move lines","Chi tiết điều chuyển kho đặt trước",,
"Result","Kết quả",,
"Results","Kết quả",,
"Reverse move date","Ngày chuyển ngược",,
"Run accounting cut-off","Bắt đầu khóa sổ kế toán",,
"Run calculation","Bắt đàu phép tính",,
"SO line","Chi tiết SO",,
"SO schedule line","Chi tiết lịch trình SO",,
"SO schedule lines","Chi tiết lịch trình SO",,
"Sale Batch","Bán hàng loạt",,
"Sale Order","Đơn hàng bán",,
"Sale batch filters","Bộ lọc bán hàng hàng loạt",,
"Sale batches","Bán hàng loạt",,
"Sale forecast","Dự báo bán hàng",,
"Sale order","Đơn bán hàng",,
"Sale order date used for stock reservation","Ngày đặt hàng được sử dụng để đặt trước",,
"Sale order line","Chi tiết đơn hàng bán",,
"Sale order quantity","Số lượng đơn hàng bán",,
"Sale order without outgoing stock move","Đơn hàng bán không phải xuất kho",,
"Sale order without stock move","Đơn hàng bán không phải chuyển kho",,
"Sale orders","Đơn hàng bán",,
"Sales","Bán hàng",,
"Sales forecast","Dự báo doanh số bán hàng",,
"Sales order","Đơn bán hàng",,
"Sales order line","Chi tiết đơn bán hàng",,
"Sales orders","Đơn bán hàng",,
"Salesperson or buyer set","Nhân viên bán hàng tập người mua",,
"Salespersons","Nhân viên bán hàng",,
"Schedule line list","Danh sách dòng lịch trình",,
"See budget distribution lines","Xem chi tiết phân phối ngân sách",,
"See projected stock","Xem lượng hàng dự kiến",,
"See stock history","Xem lịch sử kho hàng",,
"Select","Chọn",,
"Select all","Chọn tất cả",,
"Select supplier partner","Chọn đối tác cung cấp",,
"Select the lines to invoice","Chọn các dòng để lập hóa đơn",,
"Select timetables to invoice","Chọn thời gian biểu để lập hóa đơn",,
"Seq.","Mã tăng",,
"Sequence to order MRP results","Trình tự sắp xếp kết quả MRP",,
"Shipment Mode","Hình thức giao hàng",,
"Shipment mode","Hình thức giao hàng",,
"Shipping cost","Phí vận chuyển",,
"Show Total","Hiển thị tổng số",,
"Specific package","Gói cụ thể",,
"Standard","Chuẩn",,
"Standard delay (days)","Độ trễ tiêu chuẩn (ngày)",,
"Status","Trạng thái",,
"Status considered to filter a purchase order","Trạng thái để lọc đơn mua hàng",,
"Status considered to filter a sale order","Trạng thái để lọc đơn bán hàng",,
"Statuses to take into account","Các trạng thái của tài khoản",,
"Stock","Kho",,
"Stock details","Chi tiết kho",,
"Stock details by product","Chi tiết kho theo sản phẩm",,
"Stock history","Lịch sử kho",,
"Stock history line","Chi tiết lịch sử kho",,
"Stock history updated","Cập nhật lịch sử kho",,
"Stock location","Kho hàng",,
"Stock location is missing for the purchase order %s.","Thiếu kho cho đơn mua hàng %s",,
"Stock location is missing for the sale order %s.","Thiếu kho cho đơn bán hàng %s",,
"Stock location lines by product","Chi tiết tồn kho theo sản phẩm",,
"Stock move","Điều chuyển kho",,
"Stock move %s has already been invoiced.","Điều chuyển kho %s đã được lập hóa đơn.",,
"Stock move %s has been created for this sale order","Điều chuyển kho %s đã được tạo ra cho đơn bán hàng này",,
"Stock move has already been totally invoiced.","Điều chuyển kho đã được lập hóa đơn toàn bộ",,
"Stock move line","Chi tiết chuyển kho",,
"Stock move lines","Chi tiết chuyển kho",,
"Stock move type","Loại điều chuyển kho",,
"Stock move(s) processed","Điều chuyển kho đã xử lí",,
"Stock moves","Điều chuyển kho",,
"StockMove","Điều chuyển kho",,
"Subscription","Đăng ký",,
"Subscription invoice generation report :","Tạo Báo cáo Hóa đơn Đăng ký",,
"Subscription invoices to validate","Hóa đơn đăng ký để xác nhận",,
"Supplier","Nhà cung cấp",,
"Supplier Arrivals","Hàng nhận từ NCC",,
"Supplier Stock Move to invoice","Chuyển kho nhà cung cấp thành hóa đơn",,
"Supplier arrival","Hàng nhận từ NCC",,
"Supplier arrivals management","Quản lí hàng nhận từ NCC",,
"Supply chain","Chuỗi cung ứng",,
"Supply chain config","Cấu hình chuỗi cung ứng",,
"Supply chain config (${ name })","Cấu hình chuỗi cung ứng ($ {name})",,
"Supply chain configuration","Cấu hình chuỗi cung ứng",,
"Supply chain configurations","Cấu hình chuỗi cung ứng",,
"Supply chain links","Liên kết chuỗi cung ứng",,
"Supply chain links type","Loại liên kết chuỗi cung ứng",,
"Supply chain type","Loại chuỗi cung ứng",,
"Supply method","Phương thức cung ứng",,
"Supplychain Batch","Lô chuỗi cung ứng",,
"Supplychain batch","Lô chuỗi cung ứng",,
"Supplychain batch filters","Bộ lọc lô chuỗi cung ứng",,
"Supplychain batches","Lô chuỗi cung ứng",,
"Take in account sub categories","Xem xét các danh mục phụ",,
"Task","Tác vụ",,
"Tax number is missing on partner %s.","Đối tác %s bị thiếu mã thuế",,
"Team","Đội",,
"Template","Mẫu",,
"Terminate purchase order on Receipt","Chấm dứt đơn mua hàng khi có biên nhận",,
"Terminate sale order on delivery","Chấm dứt đơn bán hàng khi giao hàng",,
"Terms","Điều khoản",,
"The allocated quantity must not be greater than the quantity in the stock move line %s.","Số lượng được phân bổ không được lớn hơn số lượng ở chuyển kho %s.",,
"The amount to be spread over the timetable is negative.","Số tiền sẽ được phân phối qua thời gian biểu là số âm.",,
"The amount to invoice is superior than the amount in the sale order","Số tiền trên hóa đơn cao hơn số tiền trong đơn bán hàng",,
"The batch has already been running for this move date. Are you sure to continue ?","Lô hàng đã được chạy cho ngày di chuyển này. Bạn có chắc chắn sẽ tiếp tục không?",,
"The client is required and must be the same for all sale orders","Khách hàng là bắt buộc và phải giống cho tất cả các đơn bán hàng",,
"The company %s doesn't have any configured sequence for MRP","Công ty %s không cấu hình mã tăng cho MRP",,
"The company is required and must be the same for all purchase orders","Công ty là bắt buộc và phải giống cho tất cả các đơn mua hàng",,
"The company is required and must be the same for all sale orders","Công ty là bắt buộc và phải giống cho tất cả các đơn bán hàng",,
"The currency is required and must be the same for all sale orders","Đơn vị tiền là bắt buộc và phải giống cho tất cả các đơn bán hàng",,
"The customer account is blocked because he has late payments.","Tài khoản khách hàng bị chặn vì thanh toán trễ.",,
"The execution of MRP n°%s is now finished, you can click above to see the results.","Quá trình thực thi của mã MRP %s hiện đã kết thúc, bạn có thể nhấp vào bên trên để xem kết quả.",,
"The invoice for the stock move %s can't be generated because of this following error : %s","Không thể tạo hóa đơn cho đợt chuyển kho %s do lỗi sau: %s",,
"The invoice has already been generated.","Hóa đơn đã được tạo ra.",,
"The invoice's unit is different and inconvertible into the stock move's unit.","Đơn vị của hóa đơn khác nhau và không thể chuyển đổi thành đơn vị của hoạt động chuyển kho.",,
"The process was stopped because the computation is stuck in an infinite loop. This error can be caused by a configuration error.","Quá trình đã dừng lại vì phép tính bị kẹt trong một vòng lặp vô hạn. Lỗi này có thể gây ra bởi một lỗi cấu hình.",,
"The product will not be delivered in time for its corresponding need.","Sản phẩm sẽ không được giao kịp thời cho nhu cầu tương ứng của nó.",,
"The proposal has been successfully generated.","Đề xuất đã được tạo thành công.",,
"The purchase order %s invoiced amount cannot be greater than its total amount.","Số tiền hóa đơn mua hàng %s không thể lớn hơn tổng tiền của nó.",,
"The purchase order trading name is missing.","Tên giao dịch đơn bán hàng bị thiếu.",,
"The quantity to invoice is greater than the quantity in the purchase order","Số lượng hóa đơn lớn hơn số lượng trong đơn bán hàng",,
"The quantity to invoice is greater than the quantity in the sale order","Số lượng hóa đơn lớn hơn số lượng trong đơn mua hàng",,
"The quantity to invoice is greater than the quantity in the stock move","Số lượng hóa đơn lớn hơn số lượng trong chuyển kho",,
"The requested quantity must be greater than the already delivered quantity.","Số lượng được yêu cầu phải lớn hơn số lượng đã được giao.",,
"The requested quantity must not be greater than the quantity in the stock move line %s.","Số lượng yêu cầu không được lớn hơn số lượng trong dòng chuyển kho %s.",,
"The reservation for an availability requested stock move cannot be lowered.","Không thể giảm số lượng dự trữ của một hoạt động chuyển theo yêu cầu còn hàng.",,
"The sale order %s invoiced amount cannot be greater than its total amount.","Số tiền của đơn bán hàng %s không được lớn hơn tổng số tiền của đơn bán hàng đó.",,
"The supplier is required and must be the same for all purchase orders","Nhà cung cấp là bắt buộc và phải giống nhau cho tất cả các đơn mua hàng",,
"The trading name must be the same for all purchase orders.","Tên giao dịch phải giống nhau cho tất cả các đơn mua hàng.",,
"The trading name must be the same for all sale orders.","Tên giao dịch phải giống nhau cho tất cả các đơn bán hàng.",,
"There are no lines to invoice","Không có bản ghi nào để lập hóa đơn",,
"There are no selected timetables to invoice","Không có thời gian biểu nào được chọn để lập hóa đơn",,
"There is at least one draft or planned stock move for this sale order.","Có ít nhất một bản thảo hoặc kế hoạch chuyển kho cho đơn đặt hàng này.",,
"There is no analytic distribution on %s purchase order line","Không có phân phối phân tích trên dòng đơn mua hàng %s",,
"There is no analytic distribution on %s sale order line","Không có phân phối phân tích trên dòng đơn bán hàng %s",,
"There is no supplier catalog for this product","Không có danh mục nhà cung cấp cho sản phẩm này",,
"This batch has already been running for this move date","Lô này đã được chạy cho ngày di chuyển kho này",,
"This operation cannot be performed. Available stock for product %s: %s, stock needed: %s. Please deallocate.","Không thể thực hiện thao tác này. Hàng có sẵn cho sản phẩm %s: %s, hàng cần: %s. Vui lòng phân bổ.",,
"This product is not stock managed.","Sản phẩm này không được quản lý trong kho.",,
"This quantity is not available in stock.","Số lượng này không có sẵn trong kho.",,
"Time limit","Thời gian giới hạn",,
"Timetable","Thời gian biểu",,
"Timetable computation date","Ngày tính toán thời gian biểu",,
"Timetable template","Mẫu thời gian biểu",,
"Timetable template line","Chi tiết mẫu thời gian biểu",,
"Timetable template lines","Chi tiết mẫu thời gian biểu",,
"Timetable templates","Mẫu thời gian biểu",,
"Timetables","Thời gian biểu",,
"Title","Tiêu đề",,
"To Date","Ngày kết thúc",,
"To process","Để xử lý",,
"To stock location","Kho nhận",,
"Tools","Công cụ",,
"Total amount attributed","Tổng số tiền được phân bổ",,
"Total subscription invoice(s) generated: %s","Tổng hóa đơn đăng ký đã tạo: %s",,
"Tracking Number","Mã truy vết",,
"Tracking number search","Tìm theo mã truy vết",,
"Type","Loại",,
"Undo manual changes","Hoàn tác các thay đổi thủ công",,
"Unit","Đơn vị",,
"Unit prices in A.T.I and in W.T. can't be mix","Đơn giá có thuế và đơn giá chưa thuế không thể gộp lẫn",,
"Unselect","Không chọn",,
"Unsupported product type: %s","Loại sản phẩm không được hỗ trợ: %s",,
"Update stock history","Cập nhật lịch sử kho",,
"Update stock history configuration","Cấu hình cập nhật lịch sử kho",,
"Usable on purchase order","Có thể sử dụng cho đơn mua hàng",,
"Usable on sale order","Có thể sử dụng cho đơn bán hàng",,
"Used Credit","Tín dụng đã sử dụng",,
"Validated for invoicing","Xác nhận để lập hóa đơn",,
"Validation step for invoicing outgoing stock move","Bước xác nhận để lập hóa đơn chuyển kho xuất đi",,
"Verify product stock before availabity request","Xác minh tồn kho sản phẩm trước yêu cầu khả dụng",,
"Warn delay from supplier","Cảnh báo sự chậm trễ từ nhà cung cấp",,
"Weekly breakdown","Sự cố hàng tuần",,
"When this is active, sale order will be automatically set to 'Order completed' status once 'Amount invoiced W.T.' is equal to 'Total W.T.'. This will happen when all invoices linked to the sale order get to status 'Ventilated'","Khi điều này được kích hoạt, đơn mua hàng sẽ tự động được đặt thành trạng thái 'Đơn hàng đã hoàn tất' ngay khi 'Tổng tiền hóa đơn chưa thuế' bằng 'Tổng tiền chưa thuế'. Điều này sẽ xảy ra khi tất cả các hóa đơn được liên kết với đơn mua hàng chuyển sang trạng thái 'Công bố'",,
"You cannot request reservation with a negative quantity.","Bạn không thể yêu cầu đặt trước với số lượng âm.",,
"You have to choose at least one incoming stock move","Bạn phải chọn ít nhất một hoạt động nhập kho",,
"You have to choose at least one outgoing stock move","Bạn phải chọn ít nhất một hoạt động xuất kho",,
"You must configure a Supply chain module for the company %s","Bạn phải cấu hình mô -đun chuỗi cung ứng cho công ty %s",,
"You must configure a cancel reason on changing sale order in app supplychain.","Bạn phải cấu hình lý do hủy để thay đổi đơn mua hàng trong ứng dụng cung ứng.",,
"You must configure a forecasted invoiced customer account for the company %s","Bạn phải cấu hình tài khoản khách hàng được lập hóa đơn dự báo cho công ty %s",,
"You must configure a forecasted invoiced supplier account for the company %s","Bạn phải cấu hình tài khoản nhà cung cấp được lập hóa đơn dự báo cho công ty %s",,
"You must configure an advance payment account for the company %s","Bạn phải cấu hình tài khoản thanh toán trước cho công ty %s",,
"You must configure an supplier advance payment account for the company %s","Bạn phải cấu hình tài khoản thanh toán trước của nhà cung cấp cho công ty %s",,
"com.axelor.apps.supplychain.job.BillSubJob",,,
"com.axelor.apps.supplychain.service.batch.SupplychainBatchService",,,
"day(s)","ngày",,
"declarationOfExchanges.ProductType.product",,,
"declarationOfExchanges.Service","Dịch vụ",,
"mainPanel","bảng điều khiển chính",,
"month(s)","Tháng",,
"value:Deliver for","Giao hàng cho",,
"value:Delivered by","Được giao bởi",,
"value:Invoice for","Lập hóa đơn cho",,
"value:Invoiced by","Lập hóa đơn bởi",,
"value:Order for","Đặt hàng cho",,
"value:Ordered by","Đặt hàng bởi",,
"value:Supplychain","Chuỗi cung ứng",,
